"","country","calorie_X2009","calorie_X2010","calorie_X2011","calorie_X2012","calorie_X2013","sugar_X2009","sugar_X2010","sugar_X2011","sugar_X2012","sugar_X2013"
"26","Cameroon",2490,2510,2570,2620,2670,21.5,26.4,27,25.9,27.2
"27","Canada",3440,3450,3470,3490,3490,136,126,137,132,132
"28","Cape Verde",2560,2520,2570,2590,2610,60.6,58,57.7,56.2,52.9
"29","Central African Republic",2140,2160,2150,2120,1880,24.6,23.3,24.1,25.7,22.4
"30","Chad",2020,2060,2060,2120,2110,21.3,25.3,27.9,30.5,29.1
"31","Chile",2890,2920,2960,2960,2980,130,133,133,133,131
"32","China",2990,3040,3080,3100,3110,18,17.9,18.8,18.9,18.8
"33","Colombia",2710,2670,2700,2750,2800,164,150,151,155,160
"34","Congo, Rep.",2140,2140,2190,2160,2210,38.6,37.1,38.3,41.9,48.4
"35","Costa Rica",2840,2850,2880,2850,2850,150,150,149,149,144
"36","Cote d'Ivoire",2730,2740,2780,2780,2800,25.2,27.1,28.7,25.6,28.2
"37","Croatia",3060,2970,3000,3000,3060,138,148,143,129,118
"38","Cuba",3230,3160,3290,3350,3410,162,165,158,150,146
"39","Cyprus",2630,2670,2680,2640,2650,90.3,88.7,93.2,88.5,101
"40","Czech Republic",3280,3280,3250,3240,3260,107,111,113,119,118
"41","Denmark",3340,3400,3350,3330,3370,144,147,146,152,152
"42","Djibouti",2470,2470,2500,2550,2610,80.6,83.4,84.7,90.6,93
"43","Dominica",3040,2990,2960,2950,2930,123,122,117,116,113
"44","Dominican Republic",2390,2530,2560,2570,2610,95.8,90.1,87.6,91.4,95.3
"45","Ecuador",2290,2350,2380,2350,2340,52.3,49,54.7,58.4,63.3
"46","Egypt",3440,3510,3550,3560,3520,68.5,81.2,82.9,73.9,78
"47","El Salvador",2570,2520,2540,2560,2580,112,108,112,113,113
"48","Estonia",3350,3310,3290,3230,3250,127,126,120,89.5,86.5
"49","Ethiopia",2050,2080,2100,2120,2130,14.8,16.1,17.8,15.7,18.1
"50","Fiji",2920,2910,2920,2930,2940,109,99.5,109,108,104
"51","Finland",3230,3280,3310,3320,3370,92.7,84.4,85.8,86.8,86.8
"52","France",3530,3540,3510,3460,3480,111,104,103,104,107
"53","Gabon",2700,2730,2770,2800,2830,43.5,44.4,44.8,41.7,42.6
"54","Gambia",2620,2670,2690,2650,2630,69.5,69.2,71.2,70.4,72.2
"55","Georgia",2950,2850,2810,2840,2910,117,85.3,81.3,96.8,93.1
"56","Germany",3520,3500,3540,3500,3500,132,137,133,130,133
"57","Ghana",3030,3080,3000,3040,3020,30.9,35.8,30.4,25.8,40.5
"58","Greece",3510,3440,3430,3400,3400,75.7,77.3,75.1,81.2,80.3
"59","Grenada",2430,2430,2420,2440,2450,102,104,114,112,112
"60","Guatemala",2460,2430,2490,2420,2420,148,136,145,130,132
"61","Guinea",2550,2550,2550,2560,2570,37.8,35.5,35,32.7,27.2
"62","Guinea-Bissau",2280,2350,2340,2330,2290,28.7,29.8,29.9,28.7,30.3
"63","Guyana",2620,2640,2640,2730,2760,102,110,118,119,118
"64","Haiti",2060,2170,2100,2080,2090,56.6,47.9,49.5,51,45.8
"65","Honduras",2600,2600,2620,2630,2640,128,127,124,130,131
"66","Hungary",3140,3060,3060,3010,3040,93.9,94,96.8,94.2,95
"67","Iceland",3390,3340,3350,3400,3380,133,134,130,132,132
